host,ID,ra,dec,morph,re,z
NGC4036,MATLAS-1148,180.172,61.7846,dEN ,0.0,
NGC4026,MATLAS-1149,180.2063,50.4553,dI  ,4.0,
NGC4036,MATLAS-1150,180.2197,61.9368,dE  ,3.44,
NGC3998,MATLAS-1151,180.2514,55.0248,dEN ,12.68,
NGC3998,MATLAS-1153,180.3317,54.987,dE  ,3.43,
NGC4036,MATLAS-1155,180.4679,61.881,dE  ,7.65,
NGC4036,MATLAS-1156,180.4846,62.1661,dE  ,7.6,
NGC4036,MATLAS-1157,180.679,62.4972,dI  ,0.0,
NGC4036,MATLAS-1158,180.7527,61.742,dE  ,5.62,
NGC4036,MATLAS-1159,180.836,61.9042,dI  ,0.0,
NGC4078,MATLAS-1160,181.1015,10.1937,dE  ,3.53,
NGC4036,MATLAS-1161,181.126,61.9676,dI  ,0.0,
NGC4078,MATLAS-1162,181.1508,10.2672,dEN ,3.66,
NGC4111,MATLAS-1164,181.166,43.3886,dI  ,0.0,
NGC4111,MATLAS-1165,181.1703,43.0563,dE  ,3.57,
NGC4111,MATLAS-1166,181.179,42.5788,dE  ,0.0,
NGC4036,MATLAS-1167,181.2273,61.8386,dE  ,3.19,
NGC4111,MATLAS-1168,181.23,43.622,dI  ,0.0,
NGC4111,MATLAS-1169,181.231,43.5102,dI  ,0.0,
NGC4111,MATLAS-1170,181.2582,42.7957,dE  ,3.8,
NGC4036,MATLAS-1171,181.3403,62.3161,dE  ,2.28,
NGC4078,MATLAS-1172,181.355,10.6468,dI  ,0.0,
NGC4036,MATLAS-1173,181.3558,62.1362,dE  ,4.96,
NGC4078,MATLAS-1174,181.3757,11.1305,dE  ,12.38,
NGC4078,MATLAS-1175,181.3837,10.6093,dE  ,3.39,
NGC4078,MATLAS-1176,181.4339,11.1186,dE  ,3.02,
NGC4036,MATLAS-1177,181.4412,61.9456,dEN ,13.22,
NGC4078,MATLAS-1178,181.4505,10.6787,dEN ,6.12,
NGC4078,MATLAS-1179,181.469,10.7971,dI  ,0.0,
NGC4111,MATLAS-1180,181.496,42.9026,dI  ,0.0,
NGC4111,MATLAS-1183,181.649,43.2168,dI  ,0.0,
NGC4119,MATLAS-1184,181.8385,10.953,dE  ,5.18,
NGC4111,MATLAS-1185,181.8507,42.9868,dE  ,4.25,
NGC4119,MATLAS-1186,181.9239,10.9528,dE  ,4.2,
NGC4119,MATLAS-1187,181.9449,10.7507,dEN ,4.56,
NGC4111,MATLAS-1188,181.97,43.1116,dEN ,0.0,
NGC4150,MATLAS-1189,182.2078,30.4977,dE  ,3.13,
NGC4150,MATLAS-1190,182.226,30.4147,dI  ,0.0,
NGC4150,MATLAS-1193,182.4155,30.1327,dE  ,3.63,
NGC4150,MATLAS-1194,182.445,30.6529,dIN ,0.0,
NGC4191,MATLAS-1198,183.094,6.9799,dI  ,0.0,
NGC4191,MATLAS-1200,183.3363,7.1881,dE  ,2.68,
NGC4191,MATLAS-1201,183.3844,6.9657,dE  ,3.62,
NGC4215,MATLAS-1207,183.5465,5.8942,dE  ,6.29,
NGC4191,MATLAS-1209,183.598,6.7646,dI  ,0.0,
NGC4191,MATLAS-1210,183.6107,7.4611,dE  ,3.14,
NGC4215,MATLAS-1212,183.617,5.9086,dI  ,0.0,
NGC4215,MATLAS-1214,183.7028,6.5988,dE  ,5.91,
NGC4215,MATLAS-1215,183.7841,6.5687,dI  ,4.0,
NGC4203,MATLAS-1218,183.859,33.3919,dI  ,0.0,
NGC4215,MATLAS-1221,184.0248,6.4896,dE  ,5.7,
NGC4203,MATLAS-1222,184.0367,32.8829,dE  ,6.91,
NGC4203,MATLAS-1223,184.04,33.5924,dE  ,0.0,
NGC4251,MATLAS-1224,184.0704,28.7364,dE  ,4.92,
NGC4251,MATLAS-1226,184.107,27.914,dI  ,0.0,
NGC4215,MATLAS-1227,184.113,6.0528,dI  ,0.0,
NGC4203,MATLAS-1228,184.114,33.6938,dI  ,0.0,
NGC4215,MATLAS-1229,184.1249,6.2539,dE  ,6.22,
NGC4215,MATLAS-1230,184.141,6.8349,dI  ,0.0,
NGC4203,MATLAS-1231,184.1523,33.4982,dE  ,3.67,
NGC4203,MATLAS-1233,184.207,33.6067,dI  ,0.0,
NGC4251,MATLAS-1238,184.301,28.0515,dE  ,6.67,
NGC4215,MATLAS-1239,184.319,5.9605,dEN ,0.0,
NGC4259,MATLAS-1242,184.342,5.429,dIN ,0.0,
NGC4259,MATLAS-1244,184.3658,5.592,dE  ,3.66,
NGC4259,MATLAS-1249,184.4336,5.3309,dE  ,10.91,
NGC4215,MATLAS-1255,184.442,6.0753,dE  ,7.07,
NGC4259,MATLAS-1263,184.4691,5.4498,dE  ,6.66,
NGC4259,MATLAS-1264,184.471,5.0277,dI  ,0.0,
NGC4215,MATLAS-1265,184.4727,6.087,dI  ,6.89,
NGC4259,MATLAS-1269,184.5116,5.5414,dEN ,5.04,
NGC4259,MATLAS-1270,184.532,5.9302,dI  ,0.0,
NGC4278,MATLAS-1271,184.5344,29.818,dE  ,2.91,
NGC4278,MATLAS-1273,184.5467,28.8859,dE  ,2.47,
NGC4251,MATLAS-1275,184.5524,28.7924,dE  ,3.97,
NGC4251,MATLAS-1276,184.561,28.7806,dE  ,0.0,
NGC4251,MATLAS-1277,184.5718,28.1163,dI  ,6.98,
NGC4259,MATLAS-1279,184.5888,5.5603,dE  ,4.59,
NGC4259,MATLAS-1281,184.6043,4.9451,dE  ,5.83,
NGC4259,MATLAS-1282,184.6056,5.1695,dE  ,3.79,
NGC4259,MATLAS-1283,184.617,5.6157,dI  ,0.0,
NGC4259,MATLAS-1288,184.637,5.3992,dE  ,0.0,
NGC4259,MATLAS-1289,184.6526,5.4239,dE  ,4.79,
NGC4251,MATLAS-1291,184.665,28.7378,dI  ,0.0,
NGC4259,MATLAS-1294,184.7209,5.6746,dE  ,3.83,
NGC4278,MATLAS-1299,184.775,28.857,dI  ,0.0,
NGC4259,MATLAS-1301,184.802,5.5582,dE  ,4.02,
NGC4259,MATLAS-1302,184.802,5.3615,dE  ,8.36,
NGC4259,MATLAS-1303,184.8048,5.2263,dE  ,4.31,
NGC4259,MATLAS-1304,184.8149,5.3116,dEN ,4.2,
NGC4259,MATLAS-1306,184.8249,5.6966,dEN ,4.52,
NGC4259,MATLAS-1309,184.842,5.4437,dE  ,4.86,
NGC4251,MATLAS-1311,184.927,28.6367,dI  ,0.0,
NGC4278,MATLAS-1313,184.934,28.912,dE  ,0.0,
NGC4278,MATLAS-1317,184.9546,29.4049,dE  ,13.69,
NGC4251,MATLAS-1324,185.0241,28.5521,dE  ,4.28,
NGC4259,MATLAS-1327,185.0524,5.4375,dEN ,2.87,
NGC4251,MATLAS-1330,185.0599,27.9887,dE  ,4.02,
NGC4259,MATLAS-1331,185.0609,5.3505,dEN ,3.19,
NGC4259,MATLAS-1333,185.071,4.9282,dI  ,0.0,
NGC4251,MATLAS-1337,185.078,28.0257,dIN ,11.08,
NGC4259,MATLAS-1339,185.0963,5.4656,dE  ,4.2,
NGC4259,MATLAS-1340,185.0959,5.7124,dE  ,3.93,
NGC4259,MATLAS-1344,185.1393,5.9299,dE  ,3.56,
NGC4259,MATLAS-1345,185.14,5.6633,dE  ,0.0,
NGC4259,MATLAS-1346,185.161,5.909,dI  ,0.0,
NGC4259,MATLAS-1347,185.167,5.105,dI  ,0.0,
NGC4259,MATLAS-1358,185.323,5.146,dE  ,0.0,
NGC4278,MATLAS-1359,185.3646,28.8181,dE  ,6.38,
NGC4278,MATLAS-1361,185.425,28.9171,dE  ,0.0,
NGC4278,MATLAS-1363,185.491,28.8856,dE  ,0.0,
NGC4382,MATLAS-1368,185.988,18.2643,dE  ,3.84,
NGC4382,MATLAS-1371,186.0868,17.879,dE  ,4.73,
NGC4382,MATLAS-1372,186.1161,18.4567,dE  ,5.48,
NGC4382,MATLAS-1374,186.129,18.624,dI  ,0.0,
NGC4382,MATLAS-1375,186.165,18.0627,dE  ,0.0,
NGC4382,MATLAS-1376,186.2171,18.5442,dE  ,5.17,
NGC4382,MATLAS-1379,186.397,17.6583,dI  ,0.0,
NGC4382,MATLAS-1384,186.509,18.5828,dE  ,0.0,
NGC4382,MATLAS-1386,186.5688,18.0857,dE  ,3.42,
PGC042549,MATLAS-1392,189.902,-5.2472,dE  ,0.0,
PGC042549,MATLAS-1393,189.9051,-4.8152,dEN ,4.8,
PGC042549,MATLAS-1394,190.034,-5.1065,dI  ,0.0,
PGC042549,MATLAS-1395,190.0976,-5.3841,dI  ,3.31,
PGC042549,MATLAS-1396,190.1129,-5.4482,dI  ,4.4,
PGC042549,MATLAS-1397,190.1763,-4.8649,dE  ,3.15,
NGC4623,MATLAS-1401,190.213,8.1263,dI  ,0.0,
PGC042549,MATLAS-1402,190.225,-5.5494,dI  ,0.0,
PGC042549,MATLAS-1403,190.234,-5.2235,dEN ,0.0,
PGC042549,MATLAS-1405,190.276,-5.0183,dI  ,0.0,
PGC042549,MATLAS-1407,190.2976,-5.0395,dEN ,5.55,
PGC042549,MATLAS-1410,190.314,-4.7796,dI  ,0.0,
NGC4643,MATLAS-1411,190.3297,1.5485,dE  ,10.88,
PGC042549,MATLAS-1413,190.3429,-4.4653,dE  ,16.47,
NGC4636,MATLAS-1414,190.3622,3.2201,dE  ,4.99,
NGC4623,MATLAS-1415,190.3702,8.1894,dE  ,4.71,
PGC042549,MATLAS-1416,190.3861,-4.9579,dE  ,2.39,
NGC4636,MATLAS-1418,190.4252,2.3772,dE  ,5.18,
NGC4636,MATLAS-1419,190.4304,2.8528,dEN ,6.07,
PGC042549,MATLAS-1420,190.431,-4.8436,dI  ,0.0,
PGC042549,MATLAS-1421,190.432,-5.178,dI  ,0.0,
NGC4636,MATLAS-1424,190.5252,2.5311,dE  ,6.78,
PGC042549,MATLAS-1426,190.545,-5.4522,dI  ,0.0,
NGC4623,MATLAS-1427,190.554,7.8203,dI  ,0.0,
NGC4623,MATLAS-1430,190.673,7.8437,dI  ,0.0,
NGC4643,MATLAS-1431,190.683,1.5597,dE  ,0.0,
NGC4623,MATLAS-1432,190.687,7.3388,dI  ,0.0,
NGC4643,MATLAS-1434,190.7103,2.3226,dE  ,4.87,
NGC4624,MATLAS-1441,190.7599,3.351,dE  ,5.68,
NGC4643,MATLAS-1442,190.7752,2.3248,dEN ,8.33,
NGC4623,MATLAS-1443,190.7766,8.2598,dEN ,5.09,
NGC4623,MATLAS-1444,190.781,7.655,dIN ,0.0,
NGC4636,MATLAS-1445,190.7978,2.8035,dE  ,4.81,
NGC4643,MATLAS-1446,190.8078,2.1952,dE  ,4.27,
PGC042549,MATLAS-1447,190.825,-4.8808,dI  ,0.0,
NGC4636,MATLAS-1454,190.9232,2.9461,dE  ,9.64,
NGC4624,MATLAS-1457,190.932,3.6027,dI  ,0.0,
NGC4624,MATLAS-1459,190.9768,3.6344,dE  ,7.41,
NGC4624,MATLAS-1460,191.02,3.1776,dE  ,0.0,
NGC4643,MATLAS-1462,191.0341,2.4082,dE  ,5.68,
NGC4643,MATLAS-1466,191.07,2.171,dE  ,4.62,
NGC4624,MATLAS-1471,191.2696,2.8648,dE  ,9.32,
NGC4643,MATLAS-1472,191.2826,2.0449,dE  ,2.68,
NGC4624,MATLAS-1473,191.4329,3.1475,dE  ,6.24,
NGC4624,MATLAS-1474,191.4738,2.8821,dE  ,3.43,
NGC4624,MATLAS-1475,191.518,2.9109,dI  ,0.0,
NGC4690,MATLAS-1477,191.558,-1.1783,dI  ,0.0,
NGC4624,MATLAS-1478,191.5827,2.8055,dE  ,9.4,
NGC4690,MATLAS-1479,191.6369,-1.2935,dE  ,4.05,
NGC4624,MATLAS-1480,191.638,3.2988,dI  ,0.0,
NGC4690,MATLAS-1482,191.656,-2.116,dI  ,0.0,
NGC4624,MATLAS-1483,191.6653,2.9663,dE  ,9.48,
NGC4624,MATLAS-1484,191.706,3.0064,dI  ,0.0,
NGC4684,MATLAS-1486,191.7061,-2.5005,dEN ,9.08,
NGC4690,MATLAS-1487,191.714,-1.5519,dI  ,0.0,
NGC4697,MATLAS-1488,191.721,-6.1159,dI  ,0.0,
NGC4684,MATLAS-1489,191.7392,-2.3602,dE  ,6.9,
NGC4697,MATLAS-1490,191.789,-5.8581,dI  ,0.0,
NGC4690,MATLAS-1491,191.801,-1.5692,dIN ,0.0,
NGC4697,MATLAS-1492,191.809,-5.9576,dI  ,0.0,
NGC4690,MATLAS-1495,191.8517,-1.5229,dE  ,5.13,
NGC4690,MATLAS-1496,191.881,-1.2332,dI  ,0.0,
NGC4690,MATLAS-1497,191.8999,-1.6508,dE  ,4.3,
NGC4684,MATLAS-1499,191.9892,-2.5431,dEN ,10.47,
NGC4684,MATLAS-1500,192.0823,-3.1495,dE  ,3.05,
NGC4690,MATLAS-1502,192.1639,-1.7275,dE  ,3.89,
NGC4697,MATLAS-1503,192.183,-5.2531,dI  ,0.0,
NGC4697,MATLAS-1506,192.273,-5.5413,dI  ,0.0,
NGC4697,MATLAS-1508,192.334,-5.4809,dI  ,0.0,
NGC4697,MATLAS-1511,192.4119,-5.2749,dE  ,3.19,
NGC4690,MATLAS-1512,192.42,-1.7988,dI  ,0.0,
NGC4697,MATLAS-1514,192.48,-5.5892,dI  ,0.0,
NGC4753,MATLAS-1517,192.6038,-1.1623,dI  ,8.19,
NGC4697,MATLAS-1518,192.6157,-5.3115,dE  ,2.83,
NGC4753,MATLAS-1521,192.9813,-0.8079,dE  ,3.48,
NGC4753,MATLAS-1524,193.2296,-0.7089,dE  ,2.67,
NGC4753,MATLAS-1525,193.341,-1.3567,dI  ,0.0,
NGC4753,MATLAS-1526,193.3464,-1.3604,dEN ,6.49,
NGC4753,MATLAS-1527,193.5065,-0.97,dE  ,11.09,
NGC4753,MATLAS-1528,193.513,-1.6198,dI  ,0.0,
NGC4753,MATLAS-1529,193.605,-1.4032,dI  ,0.0,
NGC5198,MATLAS-1530,201.7938,46.6325,dE  ,7.27,
NGC5198,MATLAS-1532,201.9709,46.4414,dE  ,3.96,
NGC5198,MATLAS-1533,202.07,46.3837,dE  ,0.0,
NGC5198,MATLAS-1534,202.1029,47.0652,dE  ,7.88,
NGC5198,MATLAS-1536,202.228,46.6554,dE  ,3.08,
NGC5198,MATLAS-1537,202.2963,46.3019,dE  ,3.22,
NGC5198,MATLAS-1540,202.4588,47.0077,dE  ,3.48,
NGC5198,MATLAS-1544,202.665,46.944,dI  ,0.0,
NGC5198,MATLAS-1546,202.991,46.2187,dI  ,0.0,
NGC5273,MATLAS-1548,205.743,35.4188,dI  ,0.0,
NGC5308,MATLAS-1550,205.965,60.689,dE  ,10.5,
NGC5273,MATLAS-1551,206.0452,35.1733,dE  ,3.89,
NGC5273,MATLAS-1552,206.0597,36.2329,dE  ,3.1,
NGC5308,MATLAS-1553,206.2827,60.7115,dE  ,2.93,
NGC5308,MATLAS-1554,206.2845,61.435,dEN ,3.79,
NGC5308,MATLAS-1556,206.4001,61.0938,dEN ,5.16,
NGC5308,MATLAS-1559,206.5038,61.2243,dE  ,2.76,
NGC5322,MATLAS-1561,206.5125,60.2836,dE  ,7.34,
NGC5308,MATLAS-1562,206.5261,60.7036,dE  ,3.77,
NGC5308,MATLAS-1565,206.6061,60.745,dE  ,12.74,
NGC5308,MATLAS-1567,206.6646,60.9262,dE  ,3.77,
NGC5308,MATLAS-1568,206.6848,60.6797,dEN ,4.0,
NGC5308,MATLAS-1569,206.692,60.7147,dE  ,0.0,
NGC5322,MATLAS-1571,206.8227,60.0428,dE  ,5.98,
NGC5308,MATLAS-1573,206.8905,60.9546,dE  ,5.8,
NGC5308,MATLAS-1577,207.0559,60.8858,dEN ,8.38,
NGC5322,MATLAS-1578,207.0755,59.8329,dE  ,3.94,
NGC5308,MATLAS-1584,207.2521,60.7828,dE  ,5.38,
NGC5308,MATLAS-1585,207.258,60.924,dE  ,4.24,
NGC5322,MATLAS-1588,207.4531,59.6494,dE  ,3.32,
NGC5322,MATLAS-1590,207.5193,60.3828,dEN ,5.79,
NGC5322,MATLAS-1592,207.5437,59.9287,dE  ,4.77,
NGC5322,MATLAS-1593,207.579,60.2301,dE  ,4.43,
NGC5355,MATLAS-1596,207.7717,40.4189,dE  ,3.87,
NGC5322,MATLAS-1597,207.8103,60.7411,dE  ,3.59,
NGC5355,MATLAS-1598,207.8207,40.5175,dE  ,7.31,
NGC5355,MATLAS-1600,207.8428,40.1787,dE  ,3.25,
NGC5355,MATLAS-1601,207.8455,40.3373,dE  ,4.28,
NGC5355,MATLAS-1603,207.8626,40.5975,dE  ,4.66,
NGC5355,MATLAS-1607,208.0121,40.0316,dE  ,2.73,
NGC5355,MATLAS-1609,208.0409,39.8027,dE  ,3.52,
NGC5379,MATLAS-1611,208.0588,59.185,dE  ,2.98,
NGC5355,MATLAS-1613,208.0968,40.34,dE  ,6.36,
NGC5322,MATLAS-1618,208.1382,60.7149,dE  ,9.48,
NGC5379,MATLAS-1623,208.1894,59.7553,dE  ,3.09,
NGC5355,MATLAS-1624,208.2076,40.1553,dE  ,4.68,
NGC5355,MATLAS-1625,208.2227,40.4227,dE  ,4.35,
NGC5355,MATLAS-1628,208.2579,40.4534,dE  ,3.11,
NGC5355,MATLAS-1629,208.259,40.0946,dI  ,0.0,
NGC5322,MATLAS-1630,208.2604,60.173,dE  ,12.52,
NGC5355,MATLAS-1631,208.2776,40.5004,dE  ,4.44,
NGC5355,MATLAS-1632,208.286,40.1089,dE  ,0.0,
NGC5355,MATLAS-1635,208.3384,40.1895,dE  ,3.9,
NGC5355,MATLAS-1639,208.4631,40.2716,dI  ,5.21,
NGC5379,MATLAS-1640,208.4707,59.2917,dE  ,3.99,
NGC5379,MATLAS-1641,208.4874,59.3662,dEN ,6.5,
NGC5355,MATLAS-1642,208.4941,40.2137,dEN ,5.2,
NGC5355,MATLAS-1643,208.5225,40.2305,dEN ,4.02,
NGC5355,MATLAS-1644,208.5264,40.1445,dE  ,2.85,
NGC5355,MATLAS-1647,208.5436,40.2012,dE  ,8.3,
NGC5355,MATLAS-1648,208.559,40.4773,dI  ,0.0,
NGC5355,MATLAS-1649,208.634,40.1853,dE  ,3.73,
NGC5379,MATLAS-1650,208.6615,59.7556,dE  ,2.49,
UGC08876,MATLAS-1651,208.6705,46.4223,dE  ,4.81,
NGC5379,MATLAS-1652,208.684,60.0756,dI  ,0.0,
NGC5379,MATLAS-1653,208.684,60.0969,dE  ,0.0,
NGC5355,MATLAS-1654,208.689,40.2371,dEN ,3.39,
NGC5355,MATLAS-1655,208.7095,40.3116,dE  ,4.4,
NGC5355,MATLAS-1656,208.719,39.9656,dI  ,0.0,
NGC5355,MATLAS-1659,208.726,40.5544,dI  ,0.0,
NGC5355,MATLAS-1662,208.7526,40.055,dEN ,7.18,
NGC5355,MATLAS-1663,208.77,40.5714,dI  ,0.0,
NGC5355,MATLAS-1665,208.7834,40.5842,dEN ,3.89,
UGC08876,MATLAS-1666,208.813,46.5644,dI  ,0.0,
NGC5355,MATLAS-1668,208.8242,40.1445,dE  ,5.26,
NGC5355,MATLAS-1669,208.8267,40.5898,dE  ,5.52,
NGC5355,MATLAS-1670,208.8591,40.2743,dE  ,5.72,
NGC5355,MATLAS-1671,208.9059,40.2497,dE  ,3.49,
NGC5355,MATLAS-1672,208.9065,40.6107,dE  ,2.55,
NGC5355,MATLAS-1673,208.9275,39.8597,dE  ,3.23,
NGC5355,MATLAS-1676,208.998,40.5364,dE  ,0.0,
NGC5379,MATLAS-1679,209.157,59.3886,dI  ,0.0,
NGC5379,MATLAS-1680,209.17,59.1508,dE  ,0.0,
NGC5379,MATLAS-1682,209.6448,60.1982,dE  ,2.79,
NGC5422,MATLAS-1683,209.7205,55.2814,dE  ,3.26,
NGC5379,MATLAS-1684,209.7374,59.9644,dE  ,3.26,
UGC08876,MATLAS-1685,209.7549,46.1162,dEN ,6.24,
NGC5422,MATLAS-1686,209.8044,55.594,dE  ,2.88,
NGC5379,MATLAS-1687,209.8714,59.5691,dE  ,4.4,
NGC5379,MATLAS-1688,209.9674,59.1399,dE  ,6.38,
NGC5422,MATLAS-1689,210.143,55.2553,dI  ,0.0,
NGC5422,MATLAS-1690,210.242,55.5681,dIN ,0.0,
NGC5422,MATLAS-1691,210.4179,55.0157,dE  ,5.63,
NGC5422,MATLAS-1692,210.5835,55.6552,dEN ,7.61,
NGC5422,MATLAS-1693,210.7015,54.8219,dEN ,4.21,
NGC5422,MATLAS-1694,210.7023,54.7372,dE  ,4.91,
NGC5422,MATLAS-1695,210.7638,55.2078,dE  ,3.04,
NGC5422,MATLAS-1696,210.7635,54.7867,dE  ,3.73,
NGC5422,MATLAS-1698,210.9077,55.6645,dE  ,4.05,
NGC5422,MATLAS-1699,210.9398,55.6648,dE  ,5.06,
NGC5422,MATLAS-1700,210.9403,55.3929,dI  ,3.15,
NGC5422,MATLAS-1701,210.969,55.5915,dI  ,0.0,
NGC5485,MATLAS-1702,210.9818,55.0296,dE  ,3.34,
NGC5422,MATLAS-1703,211.054,55.7265,dE  ,4.22,
NGC5481,MATLAS-1705,211.1208,50.9266,dE  ,4.3,
NGC5481,MATLAS-1706,211.135,51.235,dI  ,0.0,
NGC5485,MATLAS-1708,211.3255,54.8978,dI  ,7.32,
NGC5485,MATLAS-1710,211.387,54.4603,dI  ,0.0,
NGC5485,MATLAS-1712,211.4119,55.1363,dE  ,3.85,
NGC5481,MATLAS-1713,211.484,50.7846,dE  ,3.57,
NGC5481,MATLAS-1716,211.5515,50.8984,dE  ,6.87,
NGC5481,MATLAS-1717,211.5553,50.8211,dE  ,3.37,
NGC5481,MATLAS-1720,211.5957,51.2501,dE  ,6.48,
NGC5481,MATLAS-1721,211.6154,50.7532,dE  ,4.39,
NGC5481,MATLAS-1722,211.6769,51.038,dI  ,3.44,
NGC5485,MATLAS-1723,211.701,55.4024,dI  ,0.0,
NGC5485,MATLAS-1725,211.7217,54.7774,dI  ,3.1,
NGC5485,MATLAS-1727,211.777,54.9774,dEN ,0.0,
NGC5485,MATLAS-1730,211.8376,55.0641,dE  ,5.33,
NGC5481,MATLAS-1731,211.8529,50.7322,dI  ,3.18,
NGC5485,MATLAS-1732,211.8655,55.2046,dE  ,3.73,
NGC5485,MATLAS-1734,211.869,55.0837,dI  ,0.0,
NGC5485,MATLAS-1736,211.888,55.5567,dE  ,4.19,
NGC5481,MATLAS-1737,211.8981,50.5286,dE  ,3.64,
NGC5481,MATLAS-1739,211.902,50.417,dI  ,0.0,
NGC5481,MATLAS-1742,211.9335,50.5533,dE  ,4.55,
NGC5481,MATLAS-1743,211.963,50.9021,dI  ,0.0,
NGC5481,MATLAS-1744,211.97,50.3967,dEN ,0.0,
NGC5481,MATLAS-1745,211.978,50.5934,dE  ,0.0,
NGC5485,MATLAS-1746,211.978,54.7036,dI  ,0.0,
NGC5485,MATLAS-1748,212.0389,55.1857,dE  ,5.25,
NGC5485,MATLAS-1749,212.0904,55.4797,dE  ,3.21,
NGC5485,MATLAS-1750,212.111,54.9092,dI  ,0.0,
NGC5485,MATLAS-1753,212.1577,54.5375,dEN ,4.38,
NGC5485,MATLAS-1755,212.1908,55.287,dE  ,6.09,
NGC5500,MATLAS-1759,212.238,48.9504,dI  ,0.0,
NGC5485,MATLAS-1760,212.2574,55.4689,dI  ,2.61,
NGC5485,MATLAS-1762,212.2622,55.4256,dE  ,2.81,
NGC5485,MATLAS-1763,212.287,54.6445,dI  ,0.0,
NGC5485,MATLAS-1765,212.3413,55.3041,dE  ,4.1,
NGC5493,MATLAS-1766,212.375,-5.3253,dE  ,5.33,
NGC5500,MATLAS-1767,212.394,49.0443,dIN ,0.0,
NGC5493,MATLAS-1768,212.427,-4.9312,dI  ,0.0,
NGC5481,MATLAS-1769,212.4398,51.0588,dE  ,7.66,
NGC5485,MATLAS-1770,212.5186,54.4422,dE  ,3.98,
NGC5485,MATLAS-1771,212.5278,54.8025,dE  ,2.68,
NGC5485,MATLAS-1773,212.5538,54.4463,dE  ,4.72,
NGC5485,MATLAS-1774,212.5834,54.7639,dE  ,5.5,
NGC5500,MATLAS-1775,212.6088,48.4432,dE  ,2.84,
NGC5485,MATLAS-1776,212.6157,54.579,dE  ,3.79,
NGC5500,MATLAS-1777,212.693,48.0887,dI  ,0.0,
NGC5493,MATLAS-1778,212.7431,-4.4971,dE  ,3.03,
NGC5500,MATLAS-1780,212.794,48.3834,dI  ,0.0,
NGC5493,MATLAS-1781,212.7999,-5.1036,dEN ,5.75,
NGC5500,MATLAS-1782,212.811,48.6583,dE  ,0.0,
NGC5500,MATLAS-1783,212.825,48.1951,dI  ,0.0,
NGC5500,MATLAS-1784,212.825,48.1831,dI  ,0.0,
NGC5500,MATLAS-1785,212.871,48.2844,dI  ,0.0,
NGC5493,MATLAS-1786,212.9077,-4.5589,dE  ,4.82,
NGC5493,MATLAS-1787,213.008,-4.8795,dE  ,3.84,
NGC5493,MATLAS-1788,213.098,-4.7975,dI  ,0.0,
NGC5493,MATLAS-1789,213.2297,-5.3862,dE  ,2.19,
NGC5507,MATLAS-1790,213.235,-3.4556,dI  ,0.0,
NGC5493,MATLAS-1791,213.2877,-4.7681,dE  ,3.47,
NGC5507,MATLAS-1795,213.557,-3.0563,dI  ,2.34,
NGC5507,MATLAS-1796,213.594,-3.0318,dI  ,0.0,
NGC5557,MATLAS-1800,213.9893,36.2363,dE  ,3.12,
NGC5557,MATLAS-1802,214.1941,35.9536,dE  ,4.42,
NGC5557,MATLAS-1804,214.324,36.693,dI  ,0.0,
NGC5557,MATLAS-1808,214.3837,36.4094,dE  ,4.51,
NGC5557,MATLAS-1809,214.4398,37.0001,dE  ,4.67,
NGC5557,MATLAS-1810,214.47,36.3059,dI  ,0.0,
NGC5557,MATLAS-1813,214.5174,36.1843,dE  ,5.07,
NGC5557,MATLAS-1814,214.5518,36.3723,dE  ,2.52,
NGC5557,MATLAS-1815,214.5807,36.8616,dE  ,6.43,
NGC5557,MATLAS-1818,214.5972,36.8154,dE  ,3.34,
NGC5557,MATLAS-1821,214.6529,36.3636,dE  ,2.66,
NGC5557,MATLAS-1822,214.6596,36.2621,dE  ,4.68,
NGC5582,MATLAS-1825,214.7395,40.1889,dE  ,2.82,
NGC5582,MATLAS-1827,214.78,39.8142,dI  ,0.0,
NGC5582,MATLAS-1828,214.8079,39.8419,dEN ,3.46,
NGC5557,MATLAS-1831,214.8651,37.0045,dE  ,4.6,
NGC5574,MATLAS-1834,214.9241,3.0774,dEN ,8.14,
NGC5574,MATLAS-1837,215.0036,3.0697,dE  ,4.19,
NGC5557,MATLAS-1838,215.005,36.7696,dI  ,0.0,
NGC5557,MATLAS-1839,215.0253,36.913,dI  ,3.31,
NGC5582,MATLAS-1841,215.106,39.6474,dE  ,6.32,
NGC5582,MATLAS-1842,215.1111,39.7869,dE  ,7.77,
NGC5574,MATLAS-1844,215.1884,3.7809,dEN ,6.28,
NGC5582,MATLAS-1845,215.2138,39.8003,dE  ,5.17,
NGC5582,MATLAS-1846,215.2204,39.868,dI  ,2.64,
NGC5582,MATLAS-1848,215.228,39.9142,dI  ,0.0,
NGC5582,MATLAS-1849,215.2608,39.9099,dE  ,5.68,
NGC5582,MATLAS-1850,215.2992,39.7051,dEN ,7.52,
NGC5582,MATLAS-1856,215.5204,40.3408,dE  ,6.69,
NGC5574,MATLAS-1857,215.5374,3.2727,dE  ,2.7,
NGC5574,MATLAS-1858,215.6389,2.7878,dE  ,4.02,
NGC5574,MATLAS-1859,215.6714,3.2984,dE  ,7.9,
NGC5574,MATLAS-1860,215.6903,3.0183,dE  ,9.69,
NGC5611,MATLAS-1861,215.722,32.7616,dI  ,0.0,
NGC5611,MATLAS-1863,215.8407,32.9398,dE  ,2.36,
NGC5582,MATLAS-1864,215.8504,40.3375,dE  ,3.93,
